timestamp,open,high,low,close
2025-04-17 22:39:00,1.1368803977966309,1.1368803977966309,1.1368803977966309,1.1368803977966309
2025-04-17 22:40:00,1.1371389627456665,1.1371389627456665,1.1371389627456665,1.1371389627456665
2025-04-17 22:41:00,1.1371389627456665,1.1371389627456665,1.1371389627456665,1.1371389627456665
2025-04-17 22:42:00,1.1371389627456665,1.1371389627456665,1.1371389627456665,1.1371389627456665
2025-04-17 22:43:00,1.1368803977966309,1.1368803977966309,1.1368803977966309,1.1368803977966309
2025-04-17 22:44:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:45:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:46:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:47:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:48:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:49:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:50:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:51:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:52:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:53:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:54:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:55:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 22:56:00,1.1370097398757935,1.1370097398757935,1.1370097398757935,1.1370097398757935
2025-04-17 22:57:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 22:58:00,1.1371389627456665,1.1371389627456665,1.1371389627456665,1.1371389627456665
2025-04-17 23:00:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:01:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:02:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:03:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:04:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-17 23:05:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:06:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-17 23:07:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-17 23:08:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:09:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:10:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:11:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:12:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:13:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-17 23:14:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:15:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:16:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-17 23:17:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:18:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:19:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:20:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:21:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:22:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:23:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:24:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:25:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:26:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:27:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:28:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:29:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:30:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:31:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:32:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:33:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:34:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:35:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:36:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:37:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:38:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:39:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:40:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:41:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:42:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:43:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:44:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:45:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:46:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:47:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:48:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:49:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:50:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-17 23:51:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:52:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-17 23:53:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:54:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:55:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:56:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-17 23:57:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-17 23:58:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-17 23:59:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:01:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:02:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 00:03:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 00:04:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:05:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:06:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:07:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:08:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:09:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:10:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:11:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:12:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:13:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:14:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:15:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:16:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:17:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:18:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:19:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:20:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:21:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:22:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:23:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:24:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:25:00,1.1384334564208984,1.1384334564208984,1.1384334564208984,1.1384334564208984
2025-04-18 00:26:00,1.1385631561279297,1.1385631561279297,1.1385631561279297,1.1385631561279297
2025-04-18 00:27:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:28:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:29:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:30:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:31:00,1.1384334564208984,1.1384334564208984,1.1384334564208984,1.1384334564208984
2025-04-18 00:32:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:33:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:34:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:35:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:36:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:37:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:38:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 00:39:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:40:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:41:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:42:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:43:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:44:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:45:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:46:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 00:47:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:48:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:49:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:50:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:51:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:52:00,1.1383039951324463,1.1383039951324463,1.1383039951324463,1.1383039951324463
2025-04-18 00:53:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:54:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:55:00,1.1381744146347046,1.1381744146347046,1.1381744146347046,1.1381744146347046
2025-04-18 00:56:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 00:57:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:58:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 00:59:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:00:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:01:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:02:00,1.138044834136963,1.138044834136963,1.138044834136963,1.138044834136963
2025-04-18 01:03:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:04:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:05:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:06:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:07:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:08:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:09:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:10:00,1.1379153728485107,1.1379153728485107,1.1379153728485107,1.1379153728485107
2025-04-18 01:11:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:12:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:13:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:14:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:15:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:16:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:17:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:18:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:19:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-18 01:20:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-18 01:21:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:22:00,1.137268304824829,1.137268304824829,1.137268304824829,1.137268304824829
2025-04-18 01:23:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:24:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:25:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:26:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:27:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:28:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:29:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:30:00,1.1377859115600586,1.1377859115600586,1.1377859115600586,1.1377859115600586
2025-04-18 01:31:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:32:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:33:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
2025-04-18 01:34:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:35:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:36:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:37:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:38:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:39:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:40:00,1.1373976469039917,1.1373976469039917,1.1373976469039917,1.1373976469039917
2025-04-18 01:41:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:42:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:43:00,1.1375269889831543,1.1375269889831543,1.1375269889831543,1.1375269889831543
2025-04-18 01:44:00,1.1376564502716064,1.1376564502716064,1.1376564502716064,1.1376564502716064
